headline,label
"German researchers set right the story of a 9,000-year-old shaman's grave",0
Judge halts Trump effort requiring colleges to show they don't consider race in admissions,0
"After the Minnesota surge, ICE is moving to a quieter enforcement approach",0
"'London Falling': A teenage imposter, an aging gangster and a body in the Thames",0
Opinion: Humanity's hopes ascended with Artemis II,0
Iran war enters its 6th week as military searches for downed jet crew member,0
The busiest place you've never seen,0
Buttercream wool and jelly bean eyes: The art of the Easter lamb cake,0
"When legal sports betting surges, so do Americans' financial problems",0
Tax refunds are trending a bit higher this year. Here's how people are spending them,0
Storm Dave to ease on Easter Sunday after amber alert expires,0
'Something we have never seen before': Artemis II crew describe far side of Moon,0
AI videos fuel rhetoric as Orbán bids for four more years in Hungary,0
German men under 45 may need military approval for long stays abroad,0
Archbishop to pray for Middle East peace in first Easter sermon,0
Is season running away from frazzled Arsenal?,0
ICE wanted to build a detention centre -  this small farming town said no,0
Streetwear and crop tops take World Cup fashion to new heights,0
Apple at 50: Three products that changed how we live - and three that really didn't,0
How will rising fuel costs affect driving lessons?,0
Our new reality show leaves nothing out,0
Trump's 'hellfire ultimatum' to Iran and 'PM slams Kanye gig',0
Bus or Lime bike? New subscription heats up the race for a cheaper commute,0
French-owned ship passes through Strait of Hormuz,0
'This has got me worried': Iranians fear what comes next after US strike on Karaj bridge,0
When will the Iran war end? Tracing the Trump administration's timelines,0
Fourth suspect arrested over Jewish charity ambulance arson attack,0
US says it has arrested relatives of late Iranian ​general Qasem ​Soleimani,0
Cambodia unveils statue to honour famous landmine-sniffing rat,0
Comedians tell ministers lack of funding is no laughing matter,0
Man charged over fatal shooting of baby in pram in New York,0
Two arrested after boy killed and two hurt in crash,0
How likely is a 'white Easter'?,0
Five-hour rescue saves cat missing for 4 years,0
'I haven't played Wordle since the day I sold it' says game's Welsh creator,0
'I started running at 70 after daughter's death',0
Highland cows moved over viral TikTok visitor surge,0
BBC News app,0
NASA Returns To The Moon (And Beyond),0
Emma Stone and Ryan Gosling star in an award-winning musical,0
Chisora beaten by Wilder in captivating bout,0
Liverpool's cup capitulation ramps up pressure on Slot,0
Price calls for Shields fight after gruelling win over Pineiro,0
Rohl won't watch title rivals as Rangers take top spot,0
Sale hold off Quins comeback to reach Champions Cup last eight,0
Iran live updates: 2nd US airman rescued from Iran after F-15 shot down,0
LIVE:  ABC News Live,0
"Artemis II live updates: Astronauts closer to the moon than Earth, NASA says",0
Crews making progress containing Southern California wildfire,0
WATCH:  Holly Robinson Peete and Michele Kong champion resources for those with autism,0
WATCH:  How astronauts keep their minds occupied in space,0
WATCH:  Father and son share special moment on World Autism Awareness Day,0
WATCH:  San Diego Zoo Safari Park baby cheetahs’ names revealed,0
"WATCH:  Body camera video shows Tiger Woods' field sobriety tests, DUI arrest after crash",0
"WATCH:  Artemis II orbits Earth for full day, takes critical step in path towards the moon",0
WATCH:  Hawaii doctor claims he acted in self defense during testimony,0
WATCH:  Toddler joins veteran for breakfast sparking emotional responses,0
WATCH:  Best pranks celebrating April Fools' day,0
WATCH:  Body camera footage released in Tiger Woods rollover car crash: 'I'm being arrested?',0
WATCH:  KitKat launches tracker after chocolate heist,0
WATCH:  Meet the 8-year-old who designed official moon mascot,0
WATCH:  One crew member from downed jet over Iran is rescued,0
"WATCH:  American fighter jet appears to have been shot down by Iran, U.S. official says",0
"WATCH:  Jobs report shows strong hiring in March, despite oil shock set off by Iran war",0
WATCH:  EPA to study microplastics in drinking water,0
WATCH:  Secretary Hegseth ousts Army Chief of Staff General Randy George,0
WATCH:  Tourists brave rope bridge suspended from Eiffel Tower,0
WATCH:  A man is facing attempted murder charges after prosecutors in Seattle say he tried to push a stranger in front of a moving train.,0
WATCH:  The translunar injection burn sending the Artemis II crew and Orion on its path toward the moon has been successfully completed.,0
"WATCH:  Trump's deputy attorney general and former personal attorney Todd Blanche will serve as acting Attorney General, the president said.",0
"Second airman in F-15E that was shot down over Iran rescued safely, U.S. officials say",0
Tom Costello speaks with Artemis II crew during their moon mission,0
"Over a dozen injured after drunk driver strikes pedestrians at Lao New Year parade in Louisiana, police say",0
Does athletic tape really work? Here's what experts say,0
What falling wage growth says about where the U.S. economy is heading,0
Taiwan's opposition leader seeks to win friends in China with a high-stakes visit,0
Why the NCAA is calling for changes to gambling laws,0
Artemis II crew tells NBC News what sleep is like in space,0
Pope Leo marks Good Friday with cross procession at Colosseum,0
Artemis II crew speaks with NBC News from Orion capsule,0
Plane makes emergency landing on Pennsylvania highway,0
Southern California faces first wildfires of the season,0
Helicopter drops marshmallows for Easter tradition,0
Search for F-15 pilot in Iran enters second day,0
LA’s ‘Most Tasteful’ Burglar: The Case of a Mid-Century Modern Furniture Thief,0
Writers Guild of America strikes tentative deal with studios,0
'Not the moon that I'm used to seeing': Artemis II astronauts describe seeing the far side,0
Geno Auriemma apologizes for Final Four dustup with Dawn Staley,0
Small plane makes emergency landing on interstate in Pennsylvania,0
Polymarket apologizes for allowing wagers on fate of U.S. pilots downed in Iran,0
Search for pilot of downed U.S. fighter jet enters second day,0
Blake Lively vows to keep fighting as judge tosses most claims in Justin Baldoni suit,0
Second U.S. crew member from downed jet rescued from Iran | Special Report,0
Trump demands Iran reopen Strait of Hormuz as missing U.S. crew member rescued,0
"Missing U.S. crew member from downed fighter jet rescued in Iran, Trump says",0
"""48 Hours"" show schedule",0
"This week on ""Sunday Morning"" (April 5)",0
Woman charged in root beer float murder orders hit on best friend,0
Robbery reveals sinister plot to kill a man with a root beer float,0
Would Michigan investigators be able to prove murder in a case without a body?,0
Driver charged with DWI after vehicle crashes into crowd at Louisiana parade,0
"Despite toilet trouble, Artemis II crew reflects on wonder of deep space experience",0
"The $100,000 H-1B visa fee is impacting the U.S.'s ability to attract global talent",0
"Trump gives Iran 48-hour deadline to reopen Strait of Hormuz or ""Hell will reign down""",0
Full interview: Artemis II astronauts on their historic moon mission,0
A look at the Harlem Globetrotters as they celebrate 100 years,0
How Trump's change to H-1B visas is impacting workers with aspirations to come to the U.S.,0
"Artemis II astronauts share message for the planet: ""You're on a spaceship called Earth""",0
"Beyond rising gas prices, car prices soar in the U.S.",0
Trump gives conflicting messages on war in Iran,0
"U.S., Iran racing to find missing U.S. airman after war plane shot down",0
4/4: CBS Weekend News,0
"Parker, Delle Donne among basketball greats set for Hall of Fame enshrinement",0
Scientist with rare ALS genetic mutation looks to experimental treatment,0
"Ousted Army chief of staff says soldiers deserve ""courageous leaders"" in email",0
"White House is expected to shake up more leadership roles at DOJ, sources say",0
"Sauté pans sold at Costco recalled after metal caps ""forcefully eject""",0
Judge halts Trump effort requiring colleges show they don't consider race,0
"Artemis II crew passes halfway point to moon, shares new photos of Earth",0
Lawmakers react to White House's massive defense spending proposal,0
U.S. races to find missing crew member after fighter jet shot down over Iran,0
NASA shares first photos of Earth taken by Artemis II,0
‘I Got Back Every Penny’: Inside Trump’s Supercharged Tax Season,0
"The I.R.S. Shut Its Direct File, but Here Are Other Free Filing Options",0
Judge Pauses Trump Demand for Student Race Data in 17 States,0
Some Voters Say Congress Is Too Old. These Black Democrats Aren’t Leaving.,0
China Built the World’s Drone Industry. Now It’s Locking Down the Skies.,0
‘Hacks’ Has the Last Laugh,0
"Pam and Kristi, Kicked to the Curb",0
"Trump’s Relentless, ‘Utterly Incoherent’ Battles",0
Hollywood Writers Union and Studios Reach Contract Deal,0
Dozens Killed in Haiti Massacre as International Force Trickles In,0
Where Are NASA’s Artemis II Astronauts Now? Closer to the Moon Than Earth.,0
"For Many Patients Leaving the I.C.U., the Struggle Has Only Just Begun",0
Their tiny church is on the cover of JD Vance’s new book. They don’t know him.,0
"<a href=""https://news.sky.com/story/iran-war-latest-trump-tehran-us-israel-kharg-island-netanyahu-lebanon-strikes-drone-live-sky-news-13509565?postid=11458523#liveblog-body"" target=""_blank"">French-owned ship transits through Iran-controlled Strait of Hormuz route</a>",0
Eight dead after earthquake hits Afghanistan and Pakistan,0
Eight &#8204;Muslim-majority countries 'strongly condemn' Israel's new death penalty law,0
Military coup leader who overthrew Aung San Suu Kyi elected president,0
ICC prosecutor who issued arrest warrant for Netanyahu facing disciplinary proceedings,0
Clear market uncertainty despite latest Trump attempt to soothe concerns,0
Alleged Bondi Beach gunman loses bid to suppress identities of family,0
Holiday island is cloaked by Saharan dust storm - turning its blue skies blood red,0
World's oldest living land animal 'alive' after getting caught up in alleged crypto scam,0
US journalist kidnapped - here's what we know so far,0
"People of Burkina Faso should forget about democracy, says military ruler",0
Uganda receives first US deportation flight under third-country agreement,0
News outlets falsely report Somaliland called for extradition of Ilhan Omar,0
Interpol arrest warrant requested in Congo-Brazzaville for Jean-Guy Blaise Mayolas,0
Weather tracker: Thunderstorms drench UAE and Saudi Arabia,0
Cubans study oil tanker diplomacy for signs of progress in secret talks with US,0
One dead and dozens injured at Peru football stadium during pre-match event,0
"Cuba begins to free more than 2,000 prisoners as US eases fuel blockade",0
Canadian woman held with daughter by ICE is released after nearly three weeks of detention,0
Alleged maple syrup scam in Quebec uncovered by Canadian broadcaster,0
A day in the life of Asia’s fuel crisis,0
One killed and buildings damaged as magnitude 7.4 earthquake strikes Indonesia,0
New Zealand signs defence pact with Cook Islands after quarrel over China deal,0
‘System malfunction’ causes robotaxis to stall in the middle of the road in China,0
Asia ramps up use of dirty fuels to cover energy shortfall triggered by Iran war,0
Asian countries assure Australia ‘normal supply’ of fuel will continue as Albanese focuses on averting shortages,0
Nearly 100 NSW service stations face fines over misleading petrol prices amid fuel shortage crackdown,0
Man arrested attempting to board international flight at Melbourne airport charged with murdering woman,0
Bilby boom: breeding trial to reintroduce species to Mallee Cliffs national park shows signs of success,0
Confidential report found former home affairs boss Michael Pezzullo was ‘reckless’ in engagement with Liberal powerbroker,0
Fugitive mafia boss wanted for murder arrested at Amalfi coast luxury villa,0
Why US and Russia are backing Viktor Orbán in Hungary election,0
‘Feels like history is being made’: will young Hungarian voters oust Orbán?,0
Biometric checks stalled again for cross-Channel travellers,0
Italian council buys Mussolini’s villa to keep it away from ‘fascist nostalgics’,0
Second US crew member of downed fighter jet rescued from Iran,0
Middle East crisis live: Trump says F-15 crew member missing in Iran is ‘safe’ after ‘dozens of aircraft’ sent to recover him,0
Netanyahu confirms attack on petrochemical plant– as it happened,0
Iran conflict to forefront of UK religious and political leaders’ Easter messages,0
Lebanese forced to bury their dead twice as war robs them of final goodbyes,0
‘India is going to face a food crisis’: Farmers panic over fertiliser shortages amid Iran war,0
Myanmar junta chief Min Aung Hlaing appointed president after ‘sham’ election,0
KP Sharma Oli: Nepal’s former prime minister arrested over alleged role in deadly protest crackdown,0
Nepal’s PM-to-be uses rap to call for unity in first post-election message,0
Taliban release US academic held in detention for more than a year,0
Two more arrested on suspicion of murder after pedestrian dies in Barnsley collision,0
"Rise in number of girls being identified as victims in county lines exploitation, data shows",0
Man arrested at court while attending hearing of Jewish ambulance arson suspects,0
"What are peptides, are they safe and is there evidence to back up the hype?",0
Medicines watchdog to investigate UK peptide clinics over health claims,0
Man charged with impaired driving after after hitting Louisiana crowd celebrating Lao New Year,0
Three-week-old mountain lion cub rescued by California biologists,0
Artemis II’s Jeremy Hansen calls Project Hail Mary ‘a real treat’ before his space mission,0
"Halting $400m White House ballroom project is national security risk, Trump officials say",0
"California protection crews contain parts of wildfire that burned 4,100 acres",0
Full list of 180 medical conditions drivers must tell the DVLA or risk £1k fine,1
Binman says Easter egg recycling 'error' could mean your bin doesn't get emptied,1
Easter Sunday weather: Storm Dave brings 'severe gales' but Met Office has some good news,1
Crew member from downed US warplane rescued after 'heavy firefight',1
"Brit tourist, 35, dies in horror Thailand car crash as inquest opens",1
Popular UK furniture brand and 4 more plunge into administration - full list,1
White House slams 'deranged conspiracy theory' claiming Donald Trump is in hospital,1
HMRC Personal Savings Allowance 'halved' as many face unexpected tax bill,1
Easter Bunny Tracker 2026: How to track real-time Easter egg deliveries around the world,1
Keir Starmer blasts Kanye West Wireless Festival booking as 'deeply concerning',1
Football legend Neville Southall says give gongs to carers not sports stars,1
PAT MCFADDEN: 'Pensioners deserve a dignified and fulfilling retirement',1
More than 12 million pensioners to receive up to £575 boost from triple lock,1
"Nearly 1,000 knives seized and 2,700 drug lines closed in record crackdown",1
NHS rolls out semi-autonomous ambulances to tackle deadly 999 delays,1
"Horror as car ploughs into crowd at Louisiana parade, with at least 16 injured",1
Lucy Letby fears being murdered in prison before baby killer 'can prove her innocence',1
"Jamie Laing apologies for awkward Boat Race slip-up - ""Like the Oscars all over again""",1
Donald Trump spokesman forced to deny US President death and hospital rumours,1
Storm Dave causes flight chaos as passengers face Easter weekend cancellations,1
England beat World Cup holders Argentina 4-3 in unusual competition,1
"Bounty hunters join Iran search for missing US airman in desperate bid for £50,000 reward",1
Police seize rat and antelope meat 'that poses risk to public' in illegal food raid,1
Lotto winning numbers LIVE: National Lottery results for April 4 with £3.9m jackpot,1
Pressure for 'radical' cut to Royal public funding as King's Sovereign Grant SOARS,1
"Heroes, zeros from Michigan’s Final Four win over Arizona: Aday Mara was an absolute force",1
‘Malcolm in the Middle’ star rejected ‘buckets of money’ to return for reboot,1
Sirens top Torrent in thrilling shootout to cap off first PWHL game at sold out Garden,1
"US Forces have rescued missing crew member of F-15E jet downed by Iran in daring mission, intense fighting",1
Mark Vientos sparks two contagious scoring rallies as Mets shutout Giants,1
"Inside secret SoCal lives of niece, grandniece of Iranian Gen.  Soleimani before they were arrested by ICE in dramatic raid",1
March Madness final is set as Michigan routs Arizona to bring on UConn showdown,1
Yankees’ diverse lineup makes up for first pitching slip in wild win over Marlins,1
Daughter of top Iranian official ousted from Emery University after outcry has visa cancelled,1
"Leo XIV celebrates first Easter vigil as pope, calls for harmony and peace in a world torn by war",1
Giancarlo Stanton swipes first base in regular season since 2020 to set up a Yankees run,1
Michigan’s Yaxel Lendeborg suffers worrisome ankle injury but returns in bizarre Final Four scenario,1
The return of Alcatraz? Good idea,1
Blue Jays catcher Alejandro Kirk out with left thumb fracture as injuries pile up,1
Yankees’ approach for ‘situationally aggressive’ baserunning already coming to life,1
Tow-truck scammers’ devious scheme to talk fearful SoCal drivers’ out of their cars,1
Rookie Gabe Perreault adds latest high to promising Rangers season with hat trick in win,1
"Niece of notorious Iranian Gen. Soleimani cheered Tehran’s threats, boosted regime propaganda in social posts before ICE arrest",1
"UCLA, Lauren Bett’s first NCAA championship appearance set for experienced South Carolina challenge",1
"Trent Perry announces return to UCLA, bolstering backcourt",1
Tori Spelling Transported to Hospital After Car Hit By Another Driver,1
Jonathan Majors Says He's Fine After Falling Through Window on Set,1
Stars and Scars -- You Be the Judge,1
Senator Alex Padilla Takes in Dodgers Game in Washington D.C.,1
Amanda Batula Seen For First Time Since Confirming West Wilson Romance,1
"Spoil Your Pet with Food, Toys and More From These Celeb-Owned Pet Brands",1
Mauricio Umansky Spotted with 'Love Island' Star Amid Family Drama,1
Ben Affleck and Jennifer Garner Reunite on Easter Weekend,1
Kate Beckinsale Says Mark Ruffalo is Lucky to Have a Penis After Alleging Agent Dropped Her,1
Shar Jackson Says She Won't Write Memoir to Respond to Stories About Her,1
"Ciara Miller Steps Out in NYC After Amanda Batula, West Wilson Confirm Romance",1
Babes In The Shower For April Showers ... Dripping With Confidence!,1
Rapper OJ da Juiceman Out of Jail After Allegedly Pointing Gun at Cop,1
"Senator Rick Scott Takes Pics of His Family at Disney World, Calls Out TMZ Amid Shutdown",1
Dakota Johnson Kisses Role Model as Relationship Heats Up,1
'Young and the Restless' Star Dee Freeman Dead at 66 After Lung Cancer Diagnosis,1
"Kanye West Brings Out Lauryn Hill, Travis Scott & More at Sold-Out L.A. Show",1
Taylor Frankie Paul Vacations with Her Older Kids As She's Barred from Seeing Child with Dakota,1
Harry Daniels Reacts to Clavicular and Woah Vicky Romance Potential,1
'RHOBH’s Mauricio Umansky Family Drama Explodes in Court,1
Will The Studio Acknowledge Catherine O'Hara's Death In Season 2? Seth Rogen Says…,1
Kylie Kelce Gets SLAMMED For Complaining About Taylor Swift & Travis Kelce Wedding Questions! Yikes!,1
Blake Lively Tries To Spin Her Massive Legal Loss As A Win! How Does THIS Make Sense? | Perez Hilton,1
Jessa & Jana Duggar Finally React To Brother Joseph's 'Profound Wrong' Behavior Following Arrest,1
Kate Beckinsale Says Mark Ruffalo Benefits From 'Having A P***s' After Mutual Agent Allegedly Dropped Her For Liking Ceasefire Post -- And Slams Him For Ignoring Her Afterward!,1
OMG! Shiloh Jolie Looks EXACTLY Like Her Mom Angelina In Music Video Debut!,1
Britney Spears Is Healing -- And So Am I!!! | Perez Hilton,1
Kim Zolciak Calls Out 'Lies' Over Temporarily Getting Stripped Of Child Custody Amid Nasty Kroy Biermann Divorce!,1
Blake Lively Is In Full Dragon Mode After Harassment Claims Are Dismissed -- Vows To Keep 'Fighting' Her 'Unfathomably Painful' Case!,1
Missing 13-Year-Old Found Alive Decades After Vanishing: Mystery Solved! How & Why She Disappeared -- And When Cops Actually Figured It Out!,1
Is Donald Trump at Walter Reed Hospital Today? Rumors Explained,1
"Donald Trump’s Health: His Chronic Venous Insufficiency, CT Scan & More Explained",1
‘The Last Thing He Told Me’ Season 2 Cast: Meet the Main Stars,1
"Angelina Jolie’s Daughters: Meet Her 3 Girls, Zahara, Shiloh & Vivienne",1
Laura Medeiros: The Producer Laura Medeiros: The Producer,1
Are Zendaya & Tom Holland Married? Update on Their Relationship Status,1
Bianca Censori Net Worth: How Much Money Kanye West’s Wife Has Now,1
When Was Tom Holland & Zendaya’s Wedding? What We Know About Their Alleged Marriage,1
Does ‘The Drama’ Have a Post-Credit Scene at the End of the Movie?,1
"‘XO, Kitty’ Cast Guide: Meet the Stars From Season 3",1
RHORI's Kelsey Swanson Responds to Claim She Was a Sex Worker 10 Years Ago,1
Model Gigi Hadid Breaks Silence on Her Appearance in the Epstein Files,1
"Food Network's Duff Goldman and Wife Welcome Baby No. 2, Son Samurai",1
Trump Admin Official Claims He Was Teleported to Waffle House in Georgia,1
Everything Amy Duggar Has Said About Cousin Joseph Duggar's Arrest,1
Geno Auriemma Apologizes to South Carolina ‘Staff’ After Dawn Staley Drama,1
'Hannah Montana: The Movie' Child Dancer Reveals 'Not Bad' Residual Payout,1
Pregnant Candice King and Steven Krueger Get Married Before Welcoming Baby,1
"Celeb Weddings of 2026: Candice King and Steven Krueger, More",1
Candice King and Husband Steven Krueger's Relationship Timeline,1
Brady Bunch's Eve Plumb Recalls Dating Onscreen Brother Christopher Knight,1
Tiger Woods' Jet Lands in Switzerland After Judge Approved Travel Amid DUI,1
Celebrity Deaths of 2026: Blue Bloods’ Alex Duong and More,1
Young and the Restless' Dee Freeman Dead at 66 After 'Incurable' Lung Cancer,1
"5 Great Easter Movies to Watch on Netflix, Prime Video and More: 'Hop' and More",1
Anne Hathaway Just Wore This It-Girl Bag Trend On The Red Carpet,1
'Farmer Wants a Wife' Star Shares Regret While Filming: 'Fell Into That Trap',1
Patriots Backup QB Tommy DeVito Confirms New Romance With Vacation Pics,1
Former Syracuse Basketball Player Deported After Month-Long ICE Detention,1
"Influencer Splits of 2026: Katherine Smith and Benjamin Finlan, More",1
'SNL' 5 Timers Club: See Every Celeb Who Has Hosted the Sketch Show 5 or More Times,1
Jonathan Majors Speaks Out After Falling Through Window On Movie Set,1
"Tori Spelling Involved In Car Accident, Taken to Hospital For Evaluation",1
"The Chainsmokers Perform Between Games in NCAA's Final Four, Get Mixed Reactions from Audience",1
"'Love On the Spectrum' Renewed for Season 5, Fan-Favorite Star Will Not Return",1
"'Euphoria' Season 3 Cast Will Look Different: 18 Actors Returning, 28 New Stars Revealed, & 6 Actors Won't Be Back",1
The Pitt's Isa Briones Returns to Broadway in 'Just in Time' with Matthew Morrison - First Look Revealed!,1
Carl Radke & Lindsay Hubbard Reunite In New Video Amid 'Summer House' Drama - Watch Now!,1
"The Gilded Age's Claybourne Elder Drops Debut Solo Album, Uses His Hot Thirst Trap Photos for Promo!",1
Selena Gomez Wears Chic Pink Prada Dress for Rare Beauty Event,1
Hugh Hefner's Widow Crystal Harris Marries James Ward in Private Island Ceremony with No Guests,1
"Rihanna & A$AP Rocky Spotted with Family in Paris, One Month After Woman Fired Shots at Their L.A. Home",1
Gigi Hadid Breaks Silence on Epstein Files After Being Mentioned in an Email,1
Hailee Steinfeld Shares First Words on Motherhood After Welcoming Baby With Josh Allen,1
"'Shrinking' Creator Teases Major Season 4 Changes: New Story, Same Cast",1
"The Vampire Diaries' Nina Dobrev & Paul Wesley Reunite at NBA Game, Sit Together in Courtside Seats",1
Olivia Munn Shares Emotional Story Behind John Mulaney Proposal After Cancer Surgeries,1
Alix Earle Says She Texted Her Ex at 5am: 'Not the Best Idea',1
Woman Realizes Harsh Truth About Her Relationship After Her Boyfriend Denies Her Birthday Wish for a 5th Year,1
Amanda Batula Reunites With Kyle Cooke in NYC Amid West Wilson Romance Drama,1
Shiloh Jolie Landed Music Video Role in 'Open Audition' & Her Famous Parents Weren't Revealed Until Later,1
'The Jesus I Know Now' Lyrics: Brandon Lake & Lainey Wilson Release New Song,1
The CW Stars Candice King & Steven Krueger Are Married: All About Their Intimate Nashville Wedding!,1
"Trump Proposes Reopening Alcatraz as Federal Prison, Requests $152 Million in New Budget Plan",1
"Thomas Doherty Didn't Want to Do 'Gossip Girl' at First, But Was Told It Would Be Like 'Euphoria'",1
17 Wholesome Posts That Will Definitely Restore Your Faith In Humanity,1
"22 Wildly Popular Products With Over 1,000 Positive Reviews On Amazon",1
9 Grindr Profiles Every Desi Queer Person Has Come Across,1
These 15 Brutal City Roasts By ChatGPT Are The Funniest Thing You’ll Read Today,1
The Brutal Truth About What It Would Actually Cost To Live 'Comfortably' In San Francisco,1
Stephen Colbert’s Late Show Is Getting Canceled And These 11 Hilarious Moments Prove Why I'll Miss It,1
21 Kitchen Appliances That Were A Hit Amongst BuzzFeed India Readers In 2021,1
21 Gadgets That BuzzFeed India Readers Could Not Get Enough Of In 2021,1
21 Things Under ₹500 That You Should Gift Yourself Before 2021 Ends,1
21 Beauty Products BuzzFeed India Readers Loved Buying In 2021,1
"17 Products Under ₹1,000 That'll Definitely Help You Fulfill Your 2022 Workout Resolution",1
18 Posts That Prove Not Everyone On The Internet Is A Complete Garbage Human,1
"If You Can Recognize More Than 10 Movies From Just The 'The' In Their Titles, You're A Cinema Expert",1
Design Your Dream Summer Vacation And We'll Reveal Which 'The Summer I Turned Pretty' Character You're Destined For,1
Lindsay Lohan's 'Pink Slip' Just Performed At Disneyland And My Inner Teen Is Absolutely Screaming,1
10 TV Shows With Badass Women Who Will Make You Feel Like You Can Conquer The World,1
These Designers Are Making Items Out Of Things You’d Never Expect,1
Your 8-Course Meal Choices Will Determine Which 'Modern Family' Character Lives Inside Your Soul,1
"From First Nominations To Snubs, The 2025 Emmy Nominations Are Quite Eventful",1
"13 Wimbledon Facts That Made Me Go Wait, What?",1
"15 Fictional Love Triangles That Made Me Feel Things I'm Not Emotionally Equipped To Handle, Ranked",1
"I Tested Zudio Makeup Products So You Don't Have To, And Honestly Some Are Surprisingly Worth Every Penny",1
The Labubu Craze Is Still Going Strong And These 25 Memes Are Absolutely Sending Me,1
"If You're A K-Beauty Enthusiast, You'll Definitely Be Able To Name These Makeup Brands From A Single Image",1
Everyone In 'The Devil Wears Prada 2' Has Been Announced And The Cast List Is *So* Good,1
Medieval Castles Have The Most Disturbing Histories And I'm Literally Shaking After Reading These Stories,1
"Social Media Has Completely Transformed How We Consume, And It's Not Just About Matcha Getting Sold Out",1
"I Just Found Out Why It’s Called A Tennis Bracelet, And It Is Peak Sports Drama",1
I Switched From An Indian School To An American School For 6 Years—Here Are 13 Things That Gave Me A Major Culture Shock,1
Your Personality Will Reveal The Unusual Beauty Treatment That's Perfect For You,1
Akshaye Khanna Has Been Underrated For Way Too Long—Let This Quiz Set The Record Straight,1
Survive The Apocalypse And We’ll Reveal Exactly How Your Friend Group Will Betray You,1
"Your ""Criminal Minds"" Episode Choices Will Reveal Which BAU Agent Would Be Your Perfect Partner",1
The Internet Is Blowing Up Over Ranveer Singh Romancing 20-Year-Old Sara Arjun In 'Dhurandhar',1
Pick Your Way Through Lewis Hamilton’s Fashion Choices And I’ll Reveal Your True F1 Race Track Energy,1
"We're Closer To 2050 Than 2000, And Here Are 61 Moments In Pop Culture The Defined The Past 25 Years",1
This McDonald's In Budapest Transforms Into A Full-On Nightclub And I'm Spiraling,1
Nitesh Tiwari's 'Ramayana' Just Dropped Its First Look And It Is Perfect,1
"Anna Wintour's Legacy Was Style And Strategy. Now That She's Out, Let's Look At Both",1
8 Tropes I Have Come Across On Wattpad That Have Me Physically Recoiling,1
Build Your Perfect Partner And We'll Guess Your Love Language,1
Design Your Ultimate Bizarre Snack Platter And We'll Tell You What Gen Z Archetype You Truly Are,1
Christopher Nolan Just Announced His Cast For The Odyssey And I'm Literally Having A Film Geek Meltdown Right Now,1
Assemble Your Perfect Indian 'Brooklyn Nine-Nine' Squad And We'll Guess The Episode You Can't Stop Quoting,1
"I Watched Indian Content Creators Play The Real-Life Squid Game, And Now Want A Squid-Game Theme Park",1
7 Fabulous LGBTQ+ Owned Restaurants In India That Deserve All Your Money Right Now,1
"I Was Getting Tired Of Modern Dating, And Then 'Materialists' Came Out And Made Me Feel Again",1
Prada Sent Kolhapuris Down The Runway Without Any Credit And We Need To Talk About This Cultural Theft,1
We Bet You Can't Correctly Define Even Half Of These Grindr Slang Terms,1
